CODE,HEX,DESCRIPTION
CE-107085-1,0x809E1502,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_502_BAD_GATEWAY
CE-107086-2,0x809E1503,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_503_SERVICE_UNAVAILABLE
CE-107087-3,0x809E1504,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_504_GATEWAY_TIMEOUT
CE-107088-4,0x809E1505,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_505_HTTP_VERSION_NOT_SUPPORTED
CE-107089-5,0x809E1506,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_506_VARIANT_ALSO_NEGOTIATES
CE-107090-7,0x809E1507,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_507_INSUFFICIENT_STORAGE
CE-107091-8,0x809E1508,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_508_LOOP_DETECTED
CE-107092-9,0x809E1509,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_509_BANDWIDTH_LIMIT_EXCEEDED
CE-107093-0,0x809E150A,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_510_NOT_EXTENDED
CE-107094-1,0x809E150B,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_511_NETWORK_AUTHENTICATION_REQUIRED
CE-107095-2,0x809E150C,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_522_CONNECTION_TIMED_OUT
CE-107096-3,0x809E150D,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_598_NETWORK_READ_TIMEOUT_ERROR
CE-107097-4,0x809E150E,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_599_NETWORK_CONNECT_TIMEOUT_ERROR
CE-107030-1,0x809E0203,SCE_ABSTRACTSTORAGE_ERROR_INVALID_PARAM
CE-117988-4,0x809E0215,SCE_ABSTRACTSTORAGE_ERROR_INVALID_TCS_SLOT_ID
CE-107020-0,0x809E0001,SCE_ABSTRACTSTORAGE_ERROR_NG
CE-107021-1,0x809E0002,SCE_ABSTRACTSTORAGE_ERROR_NO_IMPL
CE-107045-7,0x809E0212,SCE_ABSTRACTSTORAGE_ERROR_NO_PERMISSION_TO_UPLOAD_THUMBNAIL
CE-107025-5,0x809E0006,SCE_ABSTRACTSTORAGE_ERROR_NOMEM
CE-107024-4,0x809E0005,SCE_ABSTRACTSTORAGE_ERROR_NOSUPPORT
CE-107027-7,0x809E0101,SCE_ABSTRACTSTORAGE_ERROR_NOTFOUND
CE-117626-3,0x809E0214,SCE_ABSTRACTSTORAGE_ERROR_OVER_RATE_LIMIT
CE-117625-2,0x809E0213,SCE_ABSTRACTSTORAGE_ERROR_OVER_UPLOAD_LIMIT
CE-107041-3,0x809E020E,SCE_ABSTRACTSTORAGE_ERROR_POST_PARAM
CE-107038-9,0x809E020B,SCE_ABSTRACTSTORAGE_ERROR_SEGMENT_UPLOAD
CE-107037-8,0x809E020A,SCE_ABSTRACTSTORAGE_ERROR_SEGMENT_UPLOAD_FINALIZE
CE-107036-7,0x809E0209,SCE_ABSTRACTSTORAGE_ERROR_SEGMENT_UPLOAD_INIT
